Patient_Profile,average,average,average,average,average,compromised,compromised,compromised,compromised,compromised,elderly,elderly,elderly,elderly,elderly,young,young,young,young,young
Protocol,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard
Parameter,,,,,,,,,,,,,,,,,,,,
delta_P,0.18620459615491086,0.09023243364785705,0.03408416109104124,0.08301414494782644,0.10364618728583502,0.37254800971476054,0.10738792091385929,0.04628009916512091,0.02543453972742587,0.04706908407899952,0.2309307468147279,0.15863775492080756,0.08491602543939585,0.06942727756907824,0.11926864892948212,0.10471809350536168,0.10644704873127887,0.08934222818879721,0.049477589665908886,0.11726612855008119
delta_S,0.26648888848028396,0.1779226342198988,0.034029317967201135,0.05469144327514894,0.11187749562737417,0.15899674440727413,0.17875066721580932,0.08018401607719203,0.0603827528841278,0.07250375899195362,0.26618228269071476,0.26125466042161694,0.0477252014937348,0.09775631390386258,0.06038379807661627,0.25641130131859985,0.45370975443955797,0.09836811022866779,0.0453730792009064,0.2061966536843688
distribution_vol,0.20549766076070192,0.38970879063841096,0.1073589949693726,0.26342067028557636,0.13290896160267948,0.26177820796263723,0.1383930758139321,0.061505438474920716,0.09216719312357016,0.07220306523023466,0.22882855436779354,0.08954640434671618,0.059833124401225596,0.06381872351777486,0.10501695673873682,0.13477815515787767,0.13085822559395754,0.10410760079263968,0.25150678638482427,0.046158616680851805
elimination_rate,0.14414055596081926,0.09509759282157668,0.0426402330336889,0.08131116361883785,0.1294423830460096,0.3353624485953859,0.10151538779369837,0.10199028151909172,0.4648444880595598,0.09519523028194793,0.4057913616083192,0.09182251334568038,0.08405599589955282,0.07004243069779109,0.14191615231456145,0.20102862716410902,0.17688303621781293,0.15576017545012885,0.0538749857601509,0.11693051207687974
epigenetic_silencing,0.043989835970653854,0.21204619001404823,0.12830599098639198,0.10984974021343548,0.09644676749035246,0.1688955880137985,0.14148008745255178,0.09468493410100931,0.05408315116386149,0.10327522068524657,0.10051867416003332,0.15067120238175208,0.051108286219043814,0.07735495779665034,0.046587072107689156,0.5196301938319973,0.13121222493217255,0.09762379748705355,0.058661156415300016,0.07369422587219027
etaC,0.31970482370668574,0.15336949883682796,0.0797212104546354,0.11569114234288144,0.09663468885785353,0.30478187864588124,0.07312730736500829,0.07399514738353755,0.06290668036480558,0.0634240420338393,0.16134382609842707,0.2387304247751656,0.08959398834470413,0.16807347195611985,0.07296508429779644,0.10515997434011787,0.05943377395924433,0.09077502473283625,0.1622353739212728,0.08730058164753032
etaE,0.21499683923175936,0.15093194024414086,0.11316149505881118,0.12830456528035825,0.11392595836678984,0.2319124832363726,0.1714598284478733,0.0859256755951256,0.05931808695797399,0.08945875563684699,0.20715260577981404,0.3595595178662153,0.22496868567768102,0.21385865676505683,0.09430628207787017,0.19663083744749385,0.2850357541072087,0.051501611718325374,0.1244317105696856,0.09032233242408182
etaH,0.2679426868773079,0.0819891178697196,0.10178433781970499,0.1362656142211207,0.10065749934343773,0.03290332156023879,0.29553512355274975,0.06438019892908438,0.04709425363120977,0.19029506742612623,0.15349622409727937,0.3322620398561156,0.09800858712207074,0.0758074680132695,0.11133604145428191,0.3290516639145901,0.2548954992839625,0.10353869432017154,0.20575198278854567,0.19949885134883655
gamma,0.18440105282893451,0.12390624832034902,0.11058295183495459,0.08047516976957175,0.09419869249225725,0.35266716465185804,0.11887892928066285,0.09920457374137152,0.16694776517267249,0.11788484687633405,0.2213686189271776,0.12617325654733752,0.03126369341889605,0.15124430938640315,0.10807910019113029,0.2915434354714692,0.14944840493713896,0.0897018717776659,0.1358029979225503,0.04016713600927633
genetic_instability,0.13012548254417375,0.08268402881309438,0.072349577836216,0.05162564684400495,0.014109404081088815,0.3391093183362823,0.16604226986137893,0.08028943254225335,0.12565600476098648,0.12712180628691344,0.21280795514679834,0.28254618317635055,0.12165724408856282,0.10650432561006654,0.07334453478097419,0.1426537904283278,0.22574059616255865,0.06296989923372075,0.08175063528739471,0.1368258014450071
